CASE_ID,ISSUE,COMPLAINT,RESOLUTION_SUMMARY,OUTCOME,AGE_HOURS,PAYMENT_MODE,TXN_AMOUNT,RESOLUTION_TIMESTAMP,RATING
CASE000001,UPI Pending,"UPI txn for ₹24,330 is still pending in my bank app since yesterday. Merchant hasn't confirmed order ORD2683 either.","Agent checked UPI switch status and found the txn stuck in PENDING beyond the 48-hour threshold. Initiated NPCI auto-reversal; ₹24,330 was returned to the customer's UPI account within one business day of reversal confirmation.",Resolved - Auto Reversal,222,UPI,6985.44,2026-06-10T11:17:16,helpful
CASE000002,UPI Pending,"UPI txn for ₹4,149 is still pending in my bank app since yesterday. Merchant hasn't confirmed order ORD2966 either.","Agent checked UPI switch status and found the txn stuck in PENDING beyond the 48-hour threshold. Initiated NPCI auto-reversal; ₹4,149 was returned to the customer's Wallet account within one business day of reversal confirmation.",Resolved - Auto Reversal,177,Wallet,17131.13,2026-06-12T15:17:16,not_helpful
CASE000003,UPI Pending,"My UPI payment of ₹5,802 has been showing 'processing' for 42 hours now. Should I try again or wait?","Support escalated to switch ops after 29 hours in pending state. NPCI reversal was triggered and the customer's UPI passbook showed the ₹5,802 credit within the standard T+1 reversal timeline.",Resolved - Auto Reversal,36,UPI,18687.99,2026-06-18T07:17:16,helpful
CASE000004,Amount Debited but Merchant Not Credited,"I paid ₹9,113 through NetBanking for order ORD0016 but the seller says payment never reached them. My bank already debited it 67 hours ago!","Support traced the debit to a late merchant settlement posting. Issued a manual credit instruction to the payment aggregator and reconciled the ₹9,113 NetBanking entry within the 24-hour NPCI dispute window. Merchant dashboard updated to paid and the ticket was closed.",Resolved - Manual Credit,221,NetBanking,17058.67,2026-06-10T11:17:16,helpful
CASE000005,Amount Debited but Merchant Not Credited,"Money got deducted from my account — ₹19,237 via Wallet — but merchant dashboard still shows unpaid. This is ridiculous, it's been 5 days.","Support traced the debit to a late merchant settlement posting. Issued a manual credit instruction to the payment aggregator and reconciled the ₹19,237 Wallet entry within the 24-hour NPCI dispute window. Merchant dashboard updated to paid and the ticket was closed.",Resolved - Manual Credit,164,Wallet,3863.34,2026-06-13T04:17:16,helpful
CASE000006,Duplicate Debit,"Please reverse the extra ₹15,013 charge — I accidentally paid twice when the first UPI attempt hung for 4 hours.","Two SUCCESS debits were posted for order ORD9040 within 32 minutes on UPI. Agent initiated auto-reversal on the duplicate leg and ₹15,013 was credited back within NPCI T+1 timeline.",Resolved - Auto Reversal,195,UPI,3253.37,2026-06-11T21:17:16,helpful
CASE000007,UPI Pending,"Why is my ₹6,699 UPI payment still pending after 56 hours? I'm scared I'll get charged twice if I retry.","Support escalated to switch ops after 49 hours in pending state. NPCI reversal was triggered and the customer's Card passbook showed the ₹6,699 credit within the standard T+1 reversal timeline.",Resolved - Auto Reversal,6,Card,14731.58,2026-06-19T14:17:16,helpful
CASE000008,Amount Debited but Merchant Not Credited,"I paid ₹5,800 through UPI for order ORD5245 but the seller says payment never reached them. My bank already debited it 44 hours ago!","Support traced the debit to a late merchant settlement posting. Issued a manual credit instruction to the payment aggregator and reconciled the ₹5,800 UPI entry within the 24-hour NPCI dispute window. Merchant dashboard updated to paid and the ticket was closed.",Resolved - Auto Reversal,91,UPI,11702.27,2026-06-16T03:17:16,helpful
CASE000009,Refund Pending,"Still waiting on ₹1,608 refund from ORD8214. App says initiated, bank says no incoming credit on UPI.","Agent confirmed refund was stuck at INITIATED with no bank posting. Reprocessed the ₹1,608 UPI refund with updated RRN; customer passbook reflected the credit after issuer reconciliation.",Resolved - Refund Processed,220,UPI,1312.18,2026-06-10T20:17:16,not_helpful
CASE000010,UPI Pending,"My UPI payment of ₹24,227 has been showing 'processing' for 23 hours now. Should I try again or wait?","Support escalated to switch ops after 2 hours in pending state. NPCI reversal was triggered and the customer's UPI passbook showed the ₹24,227 credit within the standard T+1 reversal timeline.",Resolved - Auto Reversal,188,UPI,3912.18,2026-06-12T04:17:16,helpful
CASE000011,Refund Pending,"Still waiting on ₹14,521 refund from ORD3049. App says initiated, bank says no incoming credit on UPI.","Refund ARN had not propagated to the issuer for 9 days. L1 re-triggered the refund API with the correct beneficiary VPA; the bank posted ₹14,521 on the T+3 NPCI credit window.",Resolved - Refund Processed,61,UPI,23542.82,2026-06-17T09:17:16,helpful
CASE000012,UPI Pending,"UPI txn for ₹15,522 is still pending in my bank app since yesterday. Merchant hasn't confirmed order ORD9272 either.","Support escalated to switch ops after 18 hours in pending state. NPCI reversal was triggered and the customer's UPI passbook showed the ₹15,522 credit within the standard T+1 reversal timeline.",Resolved - Auto Reversal,3,UPI,1877.85,2026-06-19T14:17:16,helpful
CASE000013,Amount Debited but Merchant Not Credited,"Money got deducted from my account — ₹3,397 via Wallet — but merchant dashboard still shows unpaid. This is ridiculous, it's been 4 days.","Agent verified NPCI switch logs showed SUCCESS while merchant PG settlement was still pending. Raised manual credit to acquirer for ₹3,397 Wallet txn; merchant nodal account was credited after T+1 bank reconciliation. Customer confirmed the shop received payment on follow-up call.",Resolved - Manual Credit,228,Wallet,6845.09,2026-06-10T05:17:16,helpful
CASE000014,Amount Debited but Merchant Not Credited,"Txn shows success on my side for ₹5,169 (Wallet) yet the shop didn't get the credit. Customer care at the store is asking me to pay again.","Support traced the debit to a late merchant settlement posting. Issued a manual credit instruction to the payment aggregator and reconciled the ₹5,169 Wallet entry within the 24-hour NPCI dispute window. Merchant dashboard updated to paid and the ticket was closed.",Resolved - Auto Reversal,190,Wallet,14044.63,2026-06-12T01:17:16,helpful
CASE000015,Refund Completed,"Status shows refund completed for ₹13,684 yet my Card balance is unchanged. What reference number should I give my bank?","Customer could not locate the refund in passbook despite COMPLETED status. Agent shared NPCI RRN and bank confirmed delayed posting; ₹13,684 Card credit appeared after the next reconciliation cycle.",Resolved - Refund Processed,224,Card,23147.81,2026-06-10T14:17:16,helpful
CASE000016,Failed Payment,"Payment failed for ₹24,407 on Card but I got a debit SMS anyway for order ORD1974. Please check.","Txn failed at switch but a transient debit hold appeared on the customer's Card account. Agent confirmed no merchant credit and the ₹24,407 hold auto-released within the bank's 24-hour reconciliation window.",Resolved - Auto Reversal,57,Card,8773.98,2026-06-17T10:17:16,not_helpful
CASE000017,Amount Debited but Merchant Not Credited,"Txn shows success on my side for ₹5,650 (Card) yet the shop didn't get the credit. Customer care at the store is asking me to pay again.","Support traced the debit to a late merchant settlement posting. Issued a manual credit instruction to the payment aggregator and reconciled the ₹5,650 Card entry within the 24-hour NPCI dispute window. Merchant dashboard updated to paid and the ticket was closed.",Resolved - Manual Credit,68,Card,14934.45,2026-06-16T20:17:16,helpful
CASE000018,UPI Pending,"Why is my ₹10,965 UPI payment still pending after 16 hours? I'm scared I'll get charged twice if I retry.","Agent checked UPI switch status and found the txn stuck in PENDING beyond the 48-hour threshold. Initiated NPCI auto-reversal; ₹10,965 was returned to the customer's Wallet account within one business day of reversal confirmation.",Resolved - Auto Reversal,218,Wallet,12702.71,2026-06-10T15:17:16,helpful
CASE000019,Refund Pending,"Paytm shows refund initiated for ₹10,119 but my passbook has no credit entry after 72 hours.","Refund ARN had not propagated to the issuer for 7 days. L1 re-triggered the refund API with the correct beneficiary VPA; the bank posted ₹10,119 on the T+3 NPCI credit window.",Escalated - L2 Refund Team,149,Wallet,11651.46,2026-06-13T20:17:16,helpful
CASE000020,Amount Debited but Merchant Not Credited,"Txn shows success on my side for ₹12,827 (Card) yet the shop didn't get the credit. Customer care at the store is asking me to pay again.","Agent verified NPCI switch logs showed SUCCESS while merchant PG settlement was still pending. Raised manual credit to acquirer for ₹12,827 Card txn; merchant nodal account was credited after T+1 bank reconciliation. Customer confirmed the shop received payment on follow-up call.",Resolved - Auto Reversal,157,Card,10390.3,2026-06-13T04:17:16,helpful
CASE000021,Settlement Failure,"Settlement status FAILED for yesterday's ₹17,986 payout. IFSC is correct — what reject code did the bank send?","Settlement FAILED due to an invalid beneficiary IFSC on the merchant profile. Merchant updated bank details and settlement ops reprocessed the ₹17,986 Card batch successfully on retry.",Resolved - Manual Credit,64,Card,3376.81,2026-06-17T01:17:16,helpful
CASE000022,UPI Pending,"UPI txn for ₹23,755 is still pending in my bank app since yesterday. Merchant hasn't confirmed order ORD8587 either.","Support escalated to switch ops after 59 hours in pending state. NPCI reversal was triggered and the customer's Wallet passbook showed the ₹23,755 credit within the standard T+1 reversal timeline.",Resolved - Auto Reversal,125,Wallet,6901.21,2026-06-14T21:17:16,helpful
CASE000023,Refund Pending,"Paytm shows refund initiated for ₹5,938 but my passbook has no credit entry after 42 hours.","Refund ARN had not propagated to the issuer for 7 days. L1 re-triggered the refund API with the correct beneficiary VPA; the bank posted ₹5,938 on the T+3 NPCI credit window.",Resolved - Refund Processed,108,Wallet,21425.46,2026-06-15T10:17:16,helpful
CASE000024,Chargeback / Dispute,"Visa chargeback opened on ₹11,976 payment. Merchant account shows reversal debit — what's the dispute case ID?","Issuer chargeback was received on the ₹11,976 NetBanking txn. Case was routed to the Chargeback Team with delivery proof; representment was filed before the 7-day SLA.",Escalated - Chargeback Team,205,NetBanking,21020.62,2026-06-11T09:17:16,not_helpful
CASE000025,Settlement Delay,"I'm a merchant — successful UPI payments of ₹22,682 from 11 days ago still show settlement pending in my dashboard.","Agent confirmed MERCHANT_CREDITED=YES with SETTLEMENT_STATUS=PENDING for 8 days. L2 Settlement Ops fast-tracked the ₹22,682 payout after validating acquirer file inclusion.",Escalated - L2 Refund Team,213,UPI,20881.03,2026-06-11T01:17:16,helpful
CASE000026,Refund Pending,"Paytm shows refund initiated for ₹24,997 but my passbook has no credit entry after 30 hours.","Refund ARN had not propagated to the issuer for 14 days. L1 re-triggered the refund API with the correct beneficiary VPA; the bank posted ₹24,997 on the T+3 NPCI credit window.",Escalated - L2 Refund Team,145,UPI,17501.65,2026-06-13T18:17:16,helpful
CASE000027,Refund Pending,"Still waiting on ₹15,186 refund from ORD8910. App says initiated, bank says no incoming credit on Card.","Agent confirmed refund was stuck at INITIATED with no bank posting. Reprocessed the ₹15,186 Card refund with updated RRN; customer passbook reflected the credit after issuer reconciliation.",Escalated - L2 Refund Team,63,Card,21264.82,2026-06-17T02:17:16,helpful
CASE000028,UPI Pending,"Why is my ₹19,925 UPI payment still pending after 7 hours? I'm scared I'll get charged twice if I retry.","Agent checked UPI switch status and found the txn stuck in PENDING beyond the 48-hour threshold. Initiated NPCI auto-reversal; ₹19,925 was returned to the customer's UPI account within one business day of reversal confirmation.",Resolved - Auto Reversal,118,UPI,10915.4,2026-06-15T05:17:16,helpful
CASE000029,UPI Pending,"Why is my ₹15,435 UPI payment still pending after 63 hours? I'm scared I'll get charged twice if I retry.","Agent checked UPI switch status and found the txn stuck in PENDING beyond the 48-hour threshold. Initiated NPCI auto-reversal; ₹15,435 was returned to the customer's Wallet account within one business day of reversal confirmation.",Resolved - Auto Reversal,8,Wallet,4586.9,2026-06-19T14:17:16,helpful
CASE000030,Settlement Delay,"Merchant here: multiple UPI txns totaling around ₹8,573 are credited to customers but settlement to my bank is delayed 9 days.","Merchant settlement batch for ₹8,573 Wallet sales was pending beyond T+1 due to a bank holiday. Settlement ops released the batch manually and the nodal transfer completed on the next working day.",Resolved - Awaited Settlement,104,Wallet,7689.84,2026-06-15T19:17:16,helpful
CASE000031,Duplicate Debit,"Please reverse the extra ₹13,880 charge — I accidentally paid twice when the first NetBanking attempt hung for 56 hours.","Two SUCCESS debits were posted for order ORD1157 within 17 minutes on NetBanking. Agent initiated auto-reversal on the duplicate leg and ₹13,880 was credited back within NPCI T+1 timeline.",Resolved - Auto Reversal,48,NetBanking,18478.19,2026-06-17T19:17:16,helpful
CASE000032,Refund Pending,"You guys initiated a refund for ₹24,514 on Wallet 4 days ago but I still don't see it in my bank account.","Refund ARN had not propagated to the issuer for 9 days. L1 re-triggered the refund API with the correct beneficiary VPA; the bank posted ₹24,514 on the T+3 NPCI credit window.",Escalated - L2 Refund Team,27,Wallet,11761.45,2026-06-18T13:17:16,helpful
CASE000033,Refund Pending,"Paytm shows refund initiated for ₹24,140 but my passbook has no credit entry after 63 hours.","Refund ARN had not propagated to the issuer for 3 days. L1 re-triggered the refund API with the correct beneficiary VPA; the bank posted ₹24,140 on the T+3 NPCI credit window.",Resolved - Refund Processed,143,Card,19403.55,2026-06-13T23:17:16,helpful
CASE000034,Reconciliation Mismatch,"Settlement file total is ₹7,503 short vs internal ledger for NetBanking batch. Which TXN_IDs are out of sync?","Finance flagged a ₹7,503 variance between CRM ledger and acquirer settlement extract. Recon team identified a missing NPCI line item and backfilled the txn into the nightly NetBanking file.",Resolved - Manual Credit,1,NetBanking,17249.81,2026-06-19T14:17:16,helpful
CASE000035,Amount Debited but Merchant Not Credited,"Txn shows success on my side for ₹5,863 (UPI) yet the shop didn't get the credit. Customer care at the store is asking me to pay again.","Agent verified NPCI switch logs showed SUCCESS while merchant PG settlement was still pending. Raised manual credit to acquirer for ₹5,863 UPI txn; merchant nodal account was credited after T+1 bank reconciliation. Customer confirmed the shop received payment on follow-up call.",Resolved - Manual Credit,19,UPI,19826.08,2026-06-18T21:17:16,helpful
CASE000036,Normal Success,"I panicked earlier but ₹11,034 Wallet payment went through fine for ORD4254 — bank and app both show success now.","Agent verified SUCCESS status, merchant credit, and settled settlement for the ₹11,034 Wallet payment. No corrective action was required; customer was advised the transaction had already completed normally.",Resolved - Awaited Settlement,215,Wallet,24989.33,2026-06-11T02:17:16,helpful
CASE000037,Chargeback / Dispute,"My bank raised a dispute on ₹14,448 Wallet charge for order ORD6915 — merchant says they'll fight the chargeback.","Issuer chargeback was received on the ₹14,448 Wallet txn. Case was routed to the Chargeback Team with delivery proof; representment was filed before the 7-day SLA.",Escalated - Chargeback Team,85,Wallet,7241.03,2026-06-16T09:17:16,not_helpful
CASE000038,Amount Debited but Merchant Not Credited,"Money got deducted from my account — ₹11,424 via UPI — but merchant dashboard still shows unpaid. This is ridiculous, it's been 6 days.","Agent verified NPCI switch logs showed SUCCESS while merchant PG settlement was still pending. Raised manual credit to acquirer for ₹11,424 UPI txn; merchant nodal account was credited after T+1 bank reconciliation. Customer confirmed the shop received payment on follow-up call.",Resolved - Manual Credit,161,UPI,5128.78,2026-06-13T06:17:16,helpful
CASE000039,Refund Pending,"Still waiting on ₹11,008 refund from ORD0677. App says initiated, bank says no incoming credit on Wallet.","Agent confirmed refund was stuck at INITIATED with no bank posting. Reprocessed the ₹11,008 Wallet refund with updated RRN; customer passbook reflected the credit after issuer reconciliation.",Resolved - Refund Processed,119,Wallet,12484.47,2026-06-14T18:17:16,helpful
CASE000040,Failed Payment,"Failed payment on ₹10,445 (Wallet) for ORD4115 but amount looks blocked in my UPI app. Will it come back?","Txn failed at switch but a transient debit hold appeared on the customer's Wallet account. Agent confirmed no merchant credit and the ₹10,445 hold auto-released within the bank's 24-hour reconciliation window.",Resolved - Auto Reversal,69,Wallet,18164.97,2026-06-16T19:17:16,not_helpful
CASE000041,Amount Debited but Merchant Not Credited,"Money got deducted from my account — ₹21,644 via NetBanking — but merchant dashboard still shows unpaid. This is ridiculous, it's been 8 days.","Support traced the debit to a late merchant settlement posting. Issued a manual credit instruction to the payment aggregator and reconciled the ₹21,644 NetBanking entry within the 24-hour NPCI dispute window. Merchant dashboard updated to paid and the ticket was closed.",Resolved - Auto Reversal,82,NetBanking,17645.44,2026-06-16T17:17:16,not_helpful
CASE000042,Refund Pending,"Still waiting on ₹24,711 refund from ORD9193. App says initiated, bank says no incoming credit on NetBanking.","Refund ARN had not propagated to the issuer for 2 days. L1 re-triggered the refund API with the correct beneficiary VPA; the bank posted ₹24,711 on the T+3 NPCI credit window.",Resolved - Refund Processed,168,NetBanking,11763.79,2026-06-12T18:17:16,not_helpful
CASE000043,Amount Debited but Merchant Not Credited,"Money got deducted from my account — ₹15,618 via Wallet — but merchant dashboard still shows unpaid. This is ridiculous, it's been 14 days.","Support traced the debit to a late merchant settlement posting. Issued a manual credit instruction to the payment aggregator and reconciled the ₹15,618 Wallet entry within the 24-hour NPCI dispute window. Merchant dashboard updated to paid and the ticket was closed.",Resolved - Manual Credit,59,Wallet,10877.59,2026-06-17T16:17:16,helpful
CASE000044,Amount Debited but Merchant Not Credited,"Txn shows success on my side for ₹11,147 (UPI) yet the shop didn't get the credit. Customer care at the store is asking me to pay again.","Agent verified NPCI switch logs showed SUCCESS while merchant PG settlement was still pending. Raised manual credit to acquirer for ₹11,147 UPI txn; merchant nodal account was credited after T+1 bank reconciliation. Customer confirmed the shop received payment on follow-up call.",Resolved - Manual Credit,157,UPI,12466.8,2026-06-13T09:17:16,helpful
CASE000045,Amount Debited but Merchant Not Credited,"Money got deducted from my account — ₹11,582 via Card — but merchant dashboard still shows unpaid. This is ridiculous, it's been 5 days.","Agent verified NPCI switch logs showed SUCCESS while merchant PG settlement was still pending. Raised manual credit to acquirer for ₹11,582 Card txn; merchant nodal account was credited after T+1 bank reconciliation. Customer confirmed the shop received payment on follow-up call.",Resolved - Auto Reversal,177,Card,21140.33,2026-06-12T11:17:16,helpful
CASE000046,UPI Pending,"My NetBanking payment of ₹21,347 has been showing 'processing' for 32 hours now. Should I try again or wait?","Support escalated to switch ops after 37 hours in pending state. NPCI reversal was triggered and the customer's NetBanking passbook showed the ₹21,347 credit within the standard T+1 reversal timeline.",Resolved - Auto Reversal,156,NetBanking,20829.33,2026-06-13T15:17:16,not_helpful
CASE000047,UPI Pending,"UPI txn for ₹15,215 is still pending in my bank app since yesterday. Merchant hasn't confirmed order ORD1277 either.","Agent checked UPI switch status and found the txn stuck in PENDING beyond the 48-hour threshold. Initiated NPCI auto-reversal; ₹15,215 was returned to the customer's Card account within one business day of reversal confirmation.",Resolved - Auto Reversal,188,Card,22745.21,2026-06-11T22:17:16,helpful
CASE000048,Amount Debited but Merchant Not Credited,"I paid ₹4,472 through NetBanking for order ORD5982 but the seller says payment never reached them. My bank already debited it 71 hours ago!","Support traced the debit to a late merchant settlement posting. Issued a manual credit instruction to the payment aggregator and reconciled the ₹4,472 NetBanking entry within the 24-hour NPCI dispute window. Merchant dashboard updated to paid and the ticket was closed.",Resolved - Auto Reversal,194,NetBanking,24183.38,2026-06-11T17:17:16,not_helpful
CASE000049,Amount Debited but Merchant Not Credited,"Money got deducted from my account — ₹2,348 via Wallet — but merchant dashboard still shows unpaid. This is ridiculous, it's been 5 days.","Support traced the debit to a late merchant settlement posting. Issued a manual credit instruction to the payment aggregator and reconciled the ₹2,348 Wallet entry within the 24-hour NPCI dispute window. Merchant dashboard updated to paid and the ticket was closed.",Resolved - Manual Credit,84,Wallet,16208.93,2026-06-16T13:17:16,helpful
CASE000050,Refund Completed,"Status shows refund completed for ₹22,743 yet my NetBanking balance is unchanged. What reference number should I give my bank?","Customer could not locate the refund in passbook despite COMPLETED status. Agent shared NPCI RRN and bank confirmed delayed posting; ₹22,743 NetBanking credit appeared after the next reconciliation cycle.",Resolved - Refund Processed,139,NetBanking,22141.07,2026-06-14T03:17:16,helpful
CASE000051,Amount Debited but Merchant Not Credited,Money deducted but merchant never received payment,MID000010 / ORD000010: Amount Debited but Merchant Not Credited — customer reports merchant never received payment.,Escalated - Review Required,111,Card,2401.88,2026-06-19T15:31:25,helpful
CASE000052,Amount Debited but Merchant Not Credited,Money deducted but merchant never received payment,MID000010 / ORD000010: Amount Debited but Merchant Not Credited — customer reports merchant never received payment.,Escalated - Review Required,111,Card,2401.88,2026-06-19T15:37:33,helpful
CASE000053,Amount Debited but Merchant Not Credited,Money deducted but merchant never received payment,MID000010 / ORD000010: Amount Debited but Merchant Not Credited — customer reports merchant never received payment.,Escalated - Review Required,111,Card,2401.88,2026-06-19T15:40:58,helpful
CASE000054,Settlement Delay,The card issuer raised a chargeback dispute on a previously successful transaction. The merchant reports a reversal debit from their settlement account and the customer claims an unauthorised transaction.,"Transaction TXN000002 for 2677.33 via Wallet remained in a pending settlement state for 146 hours. This duration exceeded the 48-hour threshold, necessitating an immediate escalation to L2 Settlement Ops for further investigation.",Escalated - Review Required,146,Wallet,2677.33,2026-06-19T15:47:34,helpful
CASE000055,Amount Debited but Merchant Not Credited,Money deducted but merchant never received payment,MID000010 / ORD000010: Amount Debited but Merchant Not Credited — customer reports merchant never received payment.,Escalated - Review Required,111,Card,2401.88,2026-06-21T09:24:17,helpful
CASE000056,Amount Debited but Merchant Not Credited,Money deducted but merchant never received payment,"The transaction TXN000010 for 2401.88 via Card failed to credit the merchant despite a successful bank status. This case reached an age of 111 hours, which exceeded the 24-hour resolution threshold. The matter was escalated to the L2 Acquiring Ops team for further reconciliation review.",Escalated - Review Required,111,Card,2401.88,2026-06-21T09:27:55,helpful
CASE000057,Amount Debited but Merchant Not Credited,Money deducted but merchant never received payment,MID000010 / ORD000010: Amount Debited but Merchant Not Credited — customer reports merchant never received payment.,Escalated - Review Required,111,Card,2401.88,2026-06-22T11:07:38,helpful
CASE000058,Amount Debited but Merchant Not Credited,Customer paid but merchant did not receive the amount,"The customer's Card payment of 2401.88 was successfully debited but the merchant was not credited. As the case reached an age of 111 hours and exceeded the 24-hour settlement threshold, an escalation was required. This ticket was referred to the L2 Acquiring Ops team for further reconciliation.",Escalated - Review Required,111,Card,2401.88,2026-06-22T11:10:42,helpful
CASE000059,Amount Debited but Merchant Not Credited,Money deducted but merchant never received payment,"The customer’s card transaction of 2401.88 remained uncredited to the merchant despite a successful bank status. This case reached an age of 111 hours, significantly exceeding the 24-hour threshold for standard settlement. The ticket was escalated to the L2 Acquiring Ops team for manual reconciliation and investigation.",Escalated - Review Required,111,Card,2401.88,2026-06-22T11:59:01,helpful
CASE000060,Failed Payment,"Payment failed for ₹22,277 on Card but I got a debit SMS anyway. Please check.","The transaction TXN000008 for 22,277.17 via Card failed and remained unreconciled for 78 hours. As this duration exceeded the 48-hour threshold, the case was escalated to the L2 Acquiring Ops team for further investigation.",Escalated - Review Required,78,Card,22277.17,2026-06-22T17:13:08,helpful
CASE000061,Amount Debited but Merchant Not Credited,Money deducted but merchant never received payment,"The customer reported that 2401.88 was debited via Card for transaction TXN000010, but the merchant remained uncredited after 111 hours. This case was escalated to L2 Acquiring Ops as the duration exceeded the 24-hour threshold for standard settlement.",Escalated - Review Required,111,Card,2401.88,2026-06-23T11:14:08,helpful
CASE000062,Failed Payment,"Payment failed for ₹22,277 on Card but I got a debit SMS anyway. Please check.","The transaction TXN000008 for 22,277.17 via Card resulted in a failed payment and remained unresolved for 78 hours. As this duration exceeded the 48-hour threshold, the case was escalated to the L2 Acquiring Ops team for further review.",Escalated - Review Required,78,Card,22277.17,2026-06-23T14:26:48,helpful
CASE000063,Amount Debited but Merchant Not Credited,Money deducted but merchant never received payment,MID000010 / ORD000010: Amount Debited but Merchant Not Credited — customer reports merchant never received payment.,Escalated - Review Required,111,Card,2401.88,2026-06-24T11:14:42,helpful
CASE000064,UPI Pending,My UPI payment has been pending for hours and not completed,The agent reviewed transaction TXN000017 involving a payment amount of 20502.67 via NetBanking. The case age was recorded at 23 hours with a status of UPI pending. Escalation was not required as the pending duration remained within the standard 48-hour threshold.,Resolved - Copilot Assisted,23,NetBanking,20502.67,2026-06-24T11:23:21,helpful
